Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00143969137250427,0.00143969137250421,0.00438777280701788,0,0,0,44.9190588648697,0.286002598339597,0.00628467784877577,-0.000280541255882245,0.286002598339597,-0.000280541255882233,0.522166428473919,0,0,0,0,0,0,package://arm_description/meshes/base_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://arm_description/meshes/base_link.STL,,p1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.057075524192337,0.0829029144921835,0.00277681134891594,0,0,0,18.1477609595778,0.093812441089824,0.0713439095373798,0.00373913324318502,0.127557254087219,-0.00327157523451793,0.186836265570095,0,0,0,0,0,0,package://arm_description/meshes/link1.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://arm_description/meshes/link1.STL,,p2-1,Origin_joint1,Axis_joint1,joint1,continuous,0,0,0.05,1.5707963267949,0,-0.106786316106193,base_link,0,1,0,,,,,,,,,,,,
link2,-0.140026146825609,0.0352923616875173,0.00812609460372782,0,0,0,7.18324748071002,0.00478738563697837,-0.000656938778811113,0.00136729920819372,0.140060678405665,0.000243185688554337,0.137440098674691,0,0,0,0,0,0,package://arm_description/meshes/link2.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://arm_description/meshes/link2.STL,,p3-1,Origin_joint2,Axis_joint2,joint2,continuous,-0.15,0.16,0,-1.5707963267949,0,-1.69396353495007,link1,0,1,0,,,,,,,,,,,,
link3,0.0339570442163462,0.0385141208523814,-0.026153403400337,0,0,0,10.1219655479422,0.013852442854189,-0.00222927417346809,0.000634652869064411,0.0479561386819704,0.000970994342187811,0.0510153448606204,0,0,0,0,0,0,package://arm_description/meshes/link3.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://arm_description/meshes/link3.STL,,p4-1,Origin_joint3,Axis_joint3,joint3,continuous,-0.35,0,0,1.57079632678933,-1.44762911863972,-3.14159265358416,link2,0,0,1,,,,,,,,,,,,
link4,-0.107629273657781,-1.96725968848455E-11,-3.96261912172235E-10,0,0,0,4.6846328248742,0.00425222907051563,-1.15223954333504E-12,-1.17247842077589E-10,0.0166762626633217,1.32397646512377E-09,0.0154642820527334,0,0,0,0,0,0,package://arm_description/meshes/link4.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://arm_description/meshes/link4.STL,,p5-2,Origin_joint4,Axis_joint4,joint4,continuous,0.191733844433853,0.0450000000000266,-0.0279999999997629,-3.14159265358975,0,-3.14159265358961,link3,1,0,0,,,,,,,,,,,,
link5,-1.06137321154165E-13,-5.99520433297585E-15,0.0593911348979121,0,0,0,2.67314149540547,0.00301316183579177,3.55380738182177E-17,-4.47233396150271E-19,0.00299472549560383,1.24416924629023E-16,0.00178277119167584,0,0,0,0,0,0,package://arm_description/meshes/link5.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://arm_description/meshes/link5.STL,,p6-2,Origin_joint5,Axis_joint5,joint5,continuous,-0.166266155566159,0,0,3.1124527982526,1.57079630572147,-0.0291398553370043,link4,1,0,0,,,,,,,,,,,,
link6,0.0254645564837129,-2.55351295663786E-15,0,0,0,0,0.599488074004664,0.000318150978567396,-2.04830878322425E-18,1.79570984817912E-19,0.000298478621868992,-1.81199056464057E-19,0.000248329231235005,0,0,0,0,0,0,package://arm_description/meshes/link6.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://arm_description/meshes/link6.STL,,P7-2,Origin_joint6,Axis_joint6,joint6,continuous,0,0,0.0947144555394169,3.14159265358979,-1.5707963267949,0,link5,1,0,0,,,,,,,,,,,,
link7,7.12545567160827E-06,-0.0529959306902813,-0.0242856512691401,0,0,0,0.310349624397085,0.000423122555917328,2.95995593893583E-08,2.4103351774309E-08,6.53431315833532E-05,-0.000112596773524812,0.000373533620298053,0,0,0,0,0,0,package://arm_description/meshes/link7.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://arm_description/meshes/link7.STL,,p8-13,Origin_joint7,Axis_joint7,joint7,continuous,0.0425044303195282,0,0.0408095110958686,0.106786316106193,0,1.5707963267948,link6,1,0,0,,,,,,,,,,,,
link8,7.12545567183032E-06,-0.0529959306902812,-0.0242856512691401,0,0,0,0.310349624397084,0.000423122555917325,2.9599559391305E-08,2.41033517749469E-08,6.53431315833555E-05,-0.000112596773524815,0.000373533620298048,0,0,0,0,0,0,package://arm_description/meshes/link8.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://arm_description/meshes/link8.STL,,p8-14,Origin_joint8,Axis_joint8,joint8,continuous,0.0425044303195284,0,-0.0408095110958682,3.0348063374836,0,-1.570796326795,link6,1,0,0,,,,,,,,,,,,
